step,phase,x,y,z
0,warmup,-0.091356,-0.108761,0.036841
1,warmup,-0.093096,-0.133219,0.035958
2,warmup,-0.097109,-0.157921,0.035123
3,warmup,-0.103190,-0.183498,0.034340
4,warmup,-0.111221,-0.210521,0.033614
5,warmup,-0.121151,-0.239520,0.032952
6,warmup,-0.132988,-0.271007,0.032363
7,warmup,-0.146789,-0.305490,0.031860
8,warmup,-0.162660,-0.343490,0.031459
9,warmup,-0.180743,-0.385548,0.031179
10,warmup,-0.201223,-0.432244,0.031044
11,warmup,-0.224325,-0.484202,0.031086
12,warmup,-0.250313,-0.542101,0.031344
13,warmup,-0.279492,-0.606689,0.031865
14,warmup,-0.312212,-0.678791,0.032711
15,warmup,-0.348869,-0.759320,0.033958
16,warmup,-0.389915,-0.849292,0.035701
17,warmup,-0.435852,-0.949836,0.038061
18,warmup,-0.487251,-1.062210,0.041186
19,warmup,-0.544747,-1.187818,0.045263
20,warmup,-0.609054,-1.328222,0.050526
21,warmup,-0.680971,-1.485167,0.057269
22,warmup,-0.761390,-1.660597,0.065855
23,warmup,-0.851311,-1.856679,0.076743
24,warmup,-0.951848,-2.075826,0.090502
25,warmup,-1.064246,-2.320724,0.107848
26,warmup,-1.189894,-2.594358,0.129670
27,warmup,-1.330340,-2.900041,0.157082
28,warmup,-1.487310,-3.241447,0.191474
29,warmup,-1.662724,-3.622631,0.234578
30,warmup,-1.858714,-4.048067,0.288557
31,warmup,-2.077650,-4.522663,0.356104
32,warmup,-2.322151,-5.051780,0.440573
33,warmup,-2.595114,-5.641233,0.546134
34,warmup,-2.899726,-6.297280,0.677967
35,warmup,-3.239481,-7.026571,0.842492
36,warmup,-3.618190,-7.836068,1.047650
37,warmup,-4.039978,-8.732895,1.303237
38,warmup,-4.509270,-9.724109,1.621291
39,warmup,-5.030754,-10.816355,2.016543
40,warmup,-5.609314,-12.015355,2.506912
41,warmup,-6.249918,-13.325189,3.114040
42,warmup,-6.957445,-14.747289,3.863813
43,warmup,-7.736430,-16.279079,4.786812
44,warmup,-8.590694,-17.912160,5.918583
45,warmup,-9.522841,-19.629985,7.299533
46,warmup,-10.533555,-21.404958,8.974211
47,warmup,-11.620696,-23.195000,10.989602
48,warmup,-12.778126,-24.939777,13.391966
49,warmup,-13.994291,-26.557012,16.221683
50,warmup,-15.250563,-27.939734,19.505571
51,warmup,-16.519480,-28.955785,23.246389
52,warmup,-17.763111,-29.451499,27.409830
53,warmup,-18.931950,-29.261816,31.910404
54,warmup,-19.964936,-28.228882,36.599292
55,warmup,-20.791331,-26.229750,41.259189
56,warmup,-21.335173,-23.210691,45.612458
57,warmup,-21.522725,-19.220935,49.348167
58,warmup,-21.292546,-14.434019,52.169085
59,warmup,-20.606693,-9.143465,53.851280
60,warmup,-19.460370,-3.724937,54.299411
61,warmup,-17.886827,1.430275,53.576313
62,warmup,-15.955117,5.990764,51.891781
63,warmup,-13.760529,9.742817,49.552167
64,warmup,-11.410194,12.611081,46.890112
65,warmup,-9.008066,14.640369,44.200761
66,warmup,-6.643223,15.953341,41.703259
67,warmup,-4.383567,16.704145,39.531357
68,warmup,-2.274795,17.042588,37.744950
69,warmup,-0.343057,17.093840,36.350734
70,warmup,1.400633,16.951550,35.322739
71,warmup,2.955724,16.679469,34.618228
72,warmup,4.328099,16.317058,34.188075
73,warmup,5.526995,15.886062,33.982611
74,warmup,6.562902,15.396542,33.954430
75,warmup,7.446266,14.851794,34.059439
76,warmup,8.186818,14.252074,34.257091
77,warmup,8.793344,13.597296,34.510360
78,warmup,9.273739,12.888845,34.785741
79,warmup,9.635250,12.130665,35.053399
80,warmup,9.884791,11.329745,35.287461
81,warmup,10.029287,10.496098,35.466384
82,warmup,10.075968,9.642312,35.573297
83,warmup,10.032602,8.782806,35.596232
84,warmup,9.907623,7.932878,35.528143
85,warmup,9.710148,7.107689,35.366686
86,warmup,9.449902,6.321296,35.113741
87,warmup,9.137041,5.585841,34.774731
88,warmup,8.781921,4.910973,34.357786
89,warmup,8.394827,4.303527,33.872856
90,warmup,7.985697,3.767476,33.330853
91,warmup,7.563875,3.304096,32.742890
92,warmup,7.137897,2.912308,32.119664
93,warmup,6.715338,2.589128,31.471017
94,warmup,6.302717,2.330146,30.805659
95,warmup,5.905460,2.130012,30.131037
96,warmup,5.527915,1.982864,29.453329
97,warmup,5.173410,1.882697,28.777518
98,warmup,4.844339,1.823646,28.107518
99,warmup,4.542269,1.800201,27.446327
100,warmup,4.268062,1.807348,26.796195
101,warmup,4.021991,1.840654,26.158769
102,warmup,3.803857,1.896301,25.535233
103,warmup,3.613102,1.971094,24.926426
104,warmup,3.448901,2.062435,24.332939
105,warmup,3.310254,2.168284,23.755192
106,warmup,3.196057,2.287115,23.193495
107,warmup,3.105163,2.417862,22.648100
108,warmup,3.036433,2.559869,22.119229
109,warmup,2.988777,2.712836,21.607112
110,warmup,2.961183,2.876777,21.112003
111,warmup,2.952742,3.051975,20.634202
112,warmup,2.962665,3.238949,20.174074
113,warmup,2.990294,3.438415,19.732058
114,warmup,3.035106,3.651267,19.308688
115,warmup,3.096722,3.878544,18.904610
116,warmup,3.174904,4.121418,18.520595
117,warmup,3.269556,4.381166,18.157563
118,warmup,3.380717,4.659158,17.816606
119,warmup,3.508561,4.956838,17.499010
120,warmup,3.653388,5.275703,17.206283
121,warmup,3.815620,5.617283,16.940191
122,warmup,3.995786,5.983110,16.702786
123,warmup,4.194519,6.374692,16.496451
124,warmup,4.412536,6.793463,16.323933
125,warmup,4.650629,7.240739,16.188393
126,warmup,4.909640,7.717646,16.093442
127,warmup,5.190440,8.225039,16.043192
128,warmup,5.493900,8.763399,16.042289
129,warmup,5.820850,9.332710,16.095947
130,warmup,6.172036,9.932300,16.209965
131,warmup,6.548062,10.560662,16.390725
132,warmup,6.949322,11.215238,16.645157
133,warmup,7.375914,11.892170,16.980669
134,warmup,7.827540,12.586025,17.405008
135,warmup,8.303388,13.289492,17.926050
136,warmup,8.801998,13.993076,18.551500
137,warmup,9.321106,14.684802,19.288464
138,warmup,9.857476,15.349965,20.142891
139,warmup,10.406725,15.970978,21.118866
140,warmup,10.963150,16.527369,22.217752
141,warmup,11.519572,16.996012,23.437199
142,warmup,12.067216,17.351667,24.770075
143,warmup,12.595661,17.567912,26.203403
144,warmup,13.092886,17.618527,27.717440
145,warmup,13.545450,17.479337,29.285082
146,warmup,13.938839,17.130473,30.871802
147,warmup,14.258002,16.558872,32.436343
148,warmup,14.488089,15.760750,33.932338
149,warmup,14.615355,14.743660,35.310907
150,warmup,14.628186,13.527708,36.524121
151,warmup,14.518138,12.145507,37.529003
152,warmup,14.280875,10.640618,38.291531
153,warmup,13.916849,9.064491,38.789997
154,warmup,13.431614,7.472219,39.017089
155,warmup,12.835674,5.917724,38.980272
156,warmup,12.143879,4.449155,38.700378
157,warmup,11.374407,3.105222,38.208668
158,warmup,10.547488,1.912994,37.542971
159,warmup,9.684039,0.887321,36.743598
160,warmup,8.804367,0.031714,35.849697
161,warmup,7.927102,-0.659719,34.896497
162,warmup,7.068420,-1.199814,33.913627
163,warmup,6.241596,-1.605816,32.924456
164,warmup,5.456855,-1.897123,31.946242
165,warmup,4.721457,-2.093492,30.990819
166,warmup,4.039962,-2.213767,30.065554
167,warmup,3.414589,-2.275077,29.174370
168,warmup,2.845623,-2.292426,28.318703
169,warmup,2.331818,-2.278571,27.498303
170,warmup,1.870779,-2.244087,26.711883
171,warmup,1.459292,-2.197548,25.957584
172,warmup,1.093608,-2.145768,25.233314
173,warmup,0.769671,-2.094054,24.536959
174,warmup,0.483298,-2.046459,23.866523
175,warmup,0.230322,-2.006017,23.220192
176,warmup,0.006688,-1.974948,22.596366
177,warmup,-0.191475,-1.954837,21.993664
178,warmup,-0.367811,-1.946790,21.410910
179,warmup,-0.525709,-1.951557,20.847113
180,warmup,-0.668294,-1.969645,20.301449
181,warmup,-0.798429,-2.001397,19.773240
182,warmup,-0.918726,-2.047068,19.261933
183,warmup,-1.031560,-2.106877,18.767089
184,warmup,-1.139092,-2.181051,18.288367
185,warmup,-1.243288,-2.269865,17.825521
186,warmup,-1.345945,-2.373664,17.378395
187,warmup,-1.448717,-2.492889,16.946919
188,warmup,-1.553134,-2.628088,16.531116
189,warmup,-1.660630,-2.779934,16.131104
190,warmup,-1.772560,-2.949233,15.747106
191,warmup,-1.890227,-3.136930,15.379460
192,warmup,-2.014898,-3.344118,15.028636
193,warmup,-2.147820,-3.572037,14.695253
194,warmup,-2.290241,-3.822078,14.380101
195,warmup,-2.443425,-4.095786,14.084166
196,warmup,-2.608661,-4.394851,13.808666
197,warmup,-2.787280,-4.721106,13.555081
198,warmup,-2.980663,-5.076516,13.325203
199,warmup,-3.190248,-5.463157,13.121178
200,warmup,-3.417539,-5.883197,12.945568
201,warmup,-3.664105,-6.338856,12.801414
202,warmup,-3.931580,-6.832359,12.692305
203,warmup,-4.221658,-7.365870,12.622463
204,warmup,-4.536079,-7.941398,12.596826
205,warmup,-4.876611,-8.560684,12.621139
206,warmup,-5.245018,-9.225045,12.702046
207,warmup,-5.643021,-9.935175,12.847180
208,warmup,-6.072236,-10.690900,13.065233
209,warmup,-6.534103,-11.490865,13.366003
210,warmup,-7.029779,-12.332157,13.760402
211,warmup,-7.560017,-13.209848,14.260381
212,warmup,-8.125000,-14.116467,14.878771
213,warmup,-8.724146,-15.041402,15.628966
214,warmup,-9.355872,-15.970255,16.524428
215,warmup,-10.017310,-16.884192,17.577933
216,warmup,-10.703998,-17.759361,18.800530
217,warmup,-11.409535,-18.566479,20.200144
218,warmup,-12.125229,-19.270741,21.779823
219,warmup,-12.839780,-19.832244,23.535649
220,warmup,-13.539027,-20.207135,25.454448
221,warmup,-14.205837,-20.349706,27.511512
222,warmup,-14.820224,-20.215603,29.668718
223,warmup,-15.359762,-19.766139,31.873550
224,warmup,-15.800400,-18.973510,34.059621
225,warmup,-16.117711,-17.826330,36.149255
226,warmup,-16.288573,-16.334594,38.058471
227,warmup,-16.293175,-14.532867,39.704250
228,warmup,-16.117144,-12.480544,41.013336
229,warmup,-15.753484,-10.258360,41.931154
230,warmup,-15.203972,-7.961135,42.429039
231,warmup,-14.479688,-5.687736,42.508007
232,warmup,-13.600493,-3.530145,42.198026
233,warmup,-12.593458,-1.563842,41.552863
234,warmup,-11.490496,0.158571,40.641728
235,warmup,-10.325590,1.609582,39.539728
236,warmup,-9.132072,2.785032,38.319137
237,warmup,-7.940362,3.699532,37.042962
238,warmup,-6.776373,4.380581,35.761393
239,warmup,-5.660677,4.862716,34.510912
240,warmup,-4.608338,5.182651,33.315358
241,warmup,-3.629239,5.375774,32.188114
242,warmup,-2.728738,5.474013,31.134665
243,warmup,-1.908463,5.504809,30.155036
244,warmup,-1.167136,5.490889,29.245844
245,warmup,-0.501333,5.450521,28.401869
246,warmup,0.093852,5.398031,27.617161
247,warmup,0.624270,5.344410,26.885769
248,warmup,1.096284,5.297921,26.202179
249,warmup,1.516448,5.264651,25.561534
250,warmup,1.891268,5.248983,24.959729
251,warmup,2.227040,5.253993,24.393409
252,warmup,2.529735,5.281773,23.859926
253,warmup,2.804939,5.333688,23.357276
254,warmup,3.057814,5.410577,22.884022
255,warmup,3.293090,5.512908,22.439227
256,warmup,3.515072,5.640900,22.022393
257,warmup,3.727655,5.794608,21.633411
258,warmup,3.934350,5.973987,21.272523
259,warmup,4.138314,6.178929,20.940293
260,warmup,4.342375,6.409293,20.637589
261,warmup,4.549067,6.664904,20.365568
262,warmup,4.760651,6.945550,20.125678
263,warmup,4.979141,7.250963,19.919646
264,warmup,5.206323,7.580786,19.749491
265,warmup,5.443769,7.934526,19.617518
266,warmup,5.692845,8.311504,19.526322
267,warmup,5.954711,8.710782,19.478781
268,warmup,6.230318,9.131088,19.478049
269,warmup,6.520395,9.570722,19.527530
270,warmup,6.825428,10.027453,19.630845
271,warmup,7.145630,10.498410,19.791772
272,warmup,7.480908,10.979955,20.014169
273,warmup,7.830813,11.467568,20.301858
274,warmup,8.194488,11.955720,20.658479
275,warmup,8.570612,12.437762,21.087296
276,warmup,8.957327,12.905846,21.590961
277,warmup,9.352179,13.350866,22.171221
278,warmup,9.752047,13.762475,22.828585
279,warmup,10.153090,14.129169,23.561946
280,warmup,10.550698,14.438477,24.368174
281,warmup,10.939476,14.677275,25.241717
282,warmup,11.313256,14.832244,26.174221
283,warmup,11.665155,14.890477,27.154252
284,warmup,11.987687,14.840230,28.167135
285,warmup,12.272941,14.671792,29.195012
286,warmup,12.512826,14.378411,30.217139
287,warmup,12.699385,13.957200,31.210494
288,warmup,12.825166,13.409915,32.150693
289,warmup,12.883641,12.743483,33.013185
290,warmup,12.869625,11.970167,33.774658
291,warmup,12.779680,11.107289,34.414516
292,warmup,12.612440,10.176461,34.916272
293,warmup,12.368843,9.202386,35.268671
294,warmup,12.052197,8.211312,35.466402
295,warmup,11.668108,7.229333,35.510274
296,warmup,11.224231,6.280733,35.406860
297,warmup,10.729881,5.386562,35.167641
298,warmup,10.195549,4.563617,34.807809
299,warmup,9.632356,3.823888,34.344887
300,warmup,9.051509,3.174487,33.797354
301,warmup,8.463807,2.617994,33.183430
302,warmup,7.879226,2.153098,32.520120
303,warmup,7.306613,1.775417,31.822565
304,warmup,6.753493,1.478363,31.103686
305,warmup,6.225980,1.253972,30.374095
306,warmup,5.728779,1.093622,29.642191
307,warmup,5.265264,0.988608,28.914384
308,warmup,4.837598,0.930577,28.195387
309,warmup,4.446896,0.911819,27.488527
310,warmup,4.093388,0.925446,26.796047
311,warmup,3.776594,0.965474,26.119368
312,warmup,3.495482,1.026843,25.459314
313,warmup,3.248618,1.105384,24.816292
314,warmup,3.034295,1.197756,24.190434
315,warmup,2.850641,1.301372,23.581699
316,warmup,2.695714,1.414308,22.989951
317,warmup,2.567573,1.535222,22.415011
318,warmup,2.464338,1.663268,21.856696
319,warmup,2.384231,1.798027,21.314839
320,warmup,2.325611,1.939437,20.789313
321,warmup,2.286993,2.087735,20.280035
322,warmup,2.267068,2.243413,19.786980
323,warmup,2.264702,2.407173,19.310187
324,warmup,2.278949,2.579900,18.849764
325,warmup,2.309044,2.762630,18.405898
326,warmup,2.354403,2.956536,17.978865
327,warmup,2.414616,3.162908,17.569037
328,warmup,2.489445,3.383147,17.176901
329,warmup,2.578816,3.618751,16.803072
330,warmup,2.682809,3.871311,16.448311
331,warmup,2.801659,4.142508,16.113550
332,warmup,2.935744,4.434101,15.799914
333,warmup,3.085580,4.747923,15.508757
334,warmup,3.251814,5.085871,15.241691
335,warmup,3.435220,5.449889,15.000629
336,warmup,3.636687,5.841947,14.787828
337,warmup,3.857213,6.264013,14.605939
338,warmup,4.097893,6.718010,14.458063
339,warmup,4.359904,7.205764,14.347812
340,warmup,4.644490,7.728929,14.279368
341,warmup,4.952934,8.288893,14.257554
342,warmup,5.286530,8.886658,14.287896
343,warmup,5.646543,9.522686,14.376682
344,warmup,6.034157,10.196706,14.531006
345,warmup,6.450412,10.907479,14.758798
346,warmup,6.896119,11.652516,15.068807
347,warmup,7.371759,12.427742,15.470544
348,warmup,7.877357,13.227106,15.974139
349,warmup,8.412332,14.042154,16.590108
350,warmup,8.975314,14.861571,17.328978
351,warmup,9.563940,15.670713,18.200744
352,warmup,10.174617,16.451201,19.214129
353,warmup,10.802275,17.180617,20.375599
354,warmup,11.440110,17.832420,21.688147
355,warmup,12.079341,18.376179,23.149845
356,warmup,12.709024,18.778284,24.752237
357,warmup,13.315950,19.003260,26.478714
358,warmup,13.884681,19.015801,28.303079
359,warmup,14.397793,18.783561,30.188614
360,warmup,14.836370,18.280614,32.088003
361,warmup,15.180794,17.491296,33.944502
362,warmup,15.411845,16.413961,35.694633
363,warmup,15.512056,15.063936,37.272470
364,warmup,15.467244,13.474946,38.615264
365,warmup,15.268014,11.698308,39.669726
366,warmup,14.911044,9.799589,40.397966
367,warmup,14.399898,7.852927,40.781908
368,warmup,13.745201,5.933816,40.825204
369,warmup,12.964063,4.111628,40.552147
370,warmup,12.078819,2.443243,40.003791
371,warmup,11.115262,0.968895,39.232138
372,warmup,10.100625,-0.289276,38.293643
373,warmup,9.061635,-1.326105,37.243260
374,warmup,8.022861,-2.150435,36.129940
375,warmup,7.005531,-2.781184,34.993948
376,warmup,6.026860,-3.243335,33.865940
377,warmup,5.099840,-3.564434,32.767377
378,warmup,4.233413,-3.771918,31.711799
379,warmup,3.432880,-3.891335,30.706471
380,warmup,2.700458,-3.945331,29.754046
381,warmup,2.035879,-3.953245,28.854063
382,warmup,1.436967,-3.931101,28.004138
383,warmup,0.900160,-3.891849,27.200873
384,warmup,0.420959,-3.845737,26.440483
385,warmup,-0.005711,-3.800715,25.719215
386,warmup,-0.385211,-3.762838,25.033586
387,warmup,-0.722974,-3.736637,24.380518
388,warmup,-1.024340,-3.725438,23.757386
389,warmup,-1.294450,-3.731643,23.162017
390,warmup,-1.538169,-3.756951,22.592668
391,warmup,-1.760047,-3.802556,22.047985
392,warmup,-1.964298,-3.869288,21.526965
393,warmup,-2.154797,-3.957745,21.028917
394,warmup,-2.335092,-4.068381,20.553427
395,warmup,-2.508421,-4.201581,20.100336
396,warmup,-2.677737,-4.357722,19.669721
397,warmup,-2.845735,-4.537208,19.261883
398,warmup,-3.014883,-4.740499,18.877350
399,warmup,-3.187444,-4.968132,18.516874
400,warmup,-3.365513,-5.220720,18.181448
401,warmup,-3.551034,-5.498957,17.872313
402,warmup,-3.745826,-5.803605,17.590988
403,warmup,-3.951604,-6.135472,17.339288
404,warmup,-4.169991,-6.495387,17.119356
405,warmup,-4.402530,-6.884155,16.933697
406,warmup,-4.650693,-7.302511,16.785209
407,warmup,-4.915875,-7.751051,16.677221
408,warmup,-5.199392,-8.230154,16.613527
409,warmup,-5.502468,-8.739880,16.598417
410,warmup,-5.826210,-9.279850,16.636702
411,warmup,-6.171574,-9.849101,16.733720
412,warmup,-6.539326,-10.445917,16.895332
413,warmup,-6.929985,-11.067628,17.127882
414,warmup,-7.343750,-11.710388,17.438124
415,warmup,-7.780413,-12.368922,17.833089
416,warmup,-8.239264,-13.036260,18.319893
417,warmup,-8.718964,-13.703467,18.905454
418,warmup,-9.217414,-14.359383,19.596109
419,warmup,-9.731611,-14.990410,20.397110
420,warmup,-10.257491,-15.580390,21.311996
421,warmup,-10.789781,-16.110607,22.341833
422,warmup,-11.321863,-16.560005,23.484350
423,warmup,-11.845678,-16.905661,24.733002
424,warmup,-12.351676,-17.123602,26.076045
425,warmup,-12.828869,-17.190007,27.495736
426,warmup,-13.264982,-17.082798,28.967799
427,warmup,-13.646764,-16.783592,30.461355
428,warmup,-13.960447,-16.279861,31.939469
429,warmup,-14.192388,-15.567094,33.360491
430,warmup,-14.329859,-14.650642,34.680221
431,warmup,-14.361937,-13.546869,35.854831
432,warmup,-14.280430,-12.283295,36.844295
433,warmup,-14.080717,-10.897458,37.615888
434,warmup,-13.762391,-9.434498,38.147238
435,warmup,-13.329602,-7.943650,38.428391
436,warmup,-12.791006,-6.474151,38.462490
437,warmup,-12.159321,-5.071152,38.264933
438,warmup,-11.450504,-3.772294,37.861152
439,warmup,-10.682683,-2.605419,37.283468
440,warmup,-9.874957,-1.587642,36.567571
441,warmup,-9.046225,-0.725721,35.749215
442,warmup,-8.214175,-0.017453,34.861553
443,warmup,-7.394502,0.546342,33.933345
444,warmup,-6.600418,0.979620,32.988057
445,warmup,-5.842414,1.299056,32.043716
446,warmup,-5.128267,1.522316,31.113321
447,warmup,-4.463209,1.666752,30.205564
448,warmup,-3.850213,1.748524,29.325691
449,warmup,-3.290339,1.782081,28.476351
450,warmup,-2.783097,1.779933,27.658345
451,warmup,-2.326794,1.752625,26.871252
452,warmup,-1.918852,1.708835,26.113905
453,warmup,-1.556083,1.655556,25.384745
454,warmup,-1.234919,1.598305,24.682056
455,warmup,-0.951597,1.541348,24.004130
456,warmup,-0.702303,1.487910,23.349353
457,warmup,-0.483281,1.440369,22.716254
458,warmup,-0.290916,1.400430,22.103526
459,warmup,-0.121782,1.369272,21.510024
460,warmup,0.027324,1.347675,20.934756
461,warmup,0.159359,1.336129,20.376864
462,warmup,0.277036,1.334916,19.835610
463,warmup,0.382824,1.344185,19.310359
464,warmup,0.478960,1.364009,18.800562
465,warmup,0.567465,1.394431,18.305747
466,warmup,0.650162,1.435498,17.825506
467,warmup,0.728695,1.487294,17.359493
468,warmup,0.804555,1.549958,16.907411
469,warmup,0.879095,1.623704,16.469017
470,warmup,0.953556,1.708835,16.044117
471,warmup,1.029084,1.805753,15.632568
472,warmup,1.106751,1.914967,15.234283
473,warmup,1.187573,2.037102,14.849229
474,warmup,1.272525,2.172906,14.477442
475,warmup,1.362563,2.323255,14.119027
476,warmup,1.458633,2.489159,13.774176
477,warmup,1.561685,2.671770,13.443172
478,warmup,1.672694,2.872384,13.126412
479,warmup,1.792663,3.092450,12.824421
480,warmup,1.922642,3.333572,12.537873
481,warmup,2.063735,3.597518,12.267623
482,warmup,2.217113,3.886217,12.014729
483,warmup,2.384023,4.201767,11.780498
484,warmup,2.565798,4.546426,11.566523
485,warmup,2.763861,4.922611,11.374734
486,warmup,2.979736,5.332884,11.207462
487,warmup,3.215050,5.779929,11.067502
488,warmup,3.471538,6.266518,10.958197
489,warmup,3.751036,6.795465,10.883523
490,warmup,4.055479,7.369556,10.848196
491,warmup,4.386887,7.991448,10.857781
492,warmup,4.747343,8.663543,10.918816
493,warmup,5.138963,9.387810,11.038936
494,warmup,5.563848,10.165555,11.227000
495,warmup,6.024018,10.997124,11.493210
496,warmup,6.521329,11.881525,11.849193
497,warmup,7.057349,12.815957,12.308048
498,warmup,7.633209,13.795233,12.884300
499,warmup,8.249412,14.811093,13.593737
500,warmup,8.905580,15.851414,14.453066
501,warmup,9.600163,16.899333,15.479311
502,warmup,10.330080,17.932347,16.688893
503,warmup,11.090307,18.921470,18.096282
504,warmup,11.873423,19.830608,19.712163
505,warmup,12.669142,20.616351,21.541078
506,warmup,13.463863,21.228478,23.578564
507,warmup,14.240324,21.611489,25.807975
508,warmup,14.977441,21.707526,28.197308
509,warmup,15.650449,21.460899,30.696612
510,warmup,16.231494,20.824258,33.236763
511,warmup,16.690771,19.766011,35.730537
512,warmup,16.998295,18.278064,38.076823
513,warmup,17.126272,16.382396,40.168400
514,warmup,17.051884,14.134578,41.902936
515,warmup,16.760153,11.622520,43.195736
516,warmup,16.246390,8.959466,43.991802
517,warmup,15.517698,6.271781,44.274277
518,warmup,14.593106,3.683670,44.066866
519,warmup,13.502162,1.302179,43.429311
520,warmup,12.282164,-0.794134,42.447019
521,warmup,10.974534,-2.560599,41.217561
522,warmup,9.621021,-3.985559,39.837413
523,warmup,8.260363,-5.084583,38.391630
524,warmup,6.925868,-5.892124,36.947848
525,warmup,5.644069,-6.452919,35.554492
526,warmup,4.434370,-6.814770,34.242165
527,warmup,3.309456,-7.023423,33.026848
528,warmup,2.276168,-7.119550,31.913695
529,warmup,1.336596,-7.137437,30.900610
530,warmup,0.489193,-7.104832,29.981195
531,warmup,-0.270209,-7.043476,29.146940
532,warmup,-0.947536,-6.969942,28.388721
533,warmup,-1.549777,-6.896559,27.697731
534,warmup,-2.084455,-6.832278,27.066006
535,warmup,-2.559237,-6.783424,26.486662
536,warmup,-2.981656,-6.754320,25.953954
537,warmup,-3.358922,-6.747782,25.463240
538,warmup,-3.697808,-6.765512,25.010873
539,warmup,-4.004579,-6.808390,24.594092
540,warmup,-4.284960,-6.876698,24.210897
541,warmup,-4.544134,-6.970293,23.859936
542,warmup,-4.786749,-7.088720,23.540411
543,warmup,-5.016947,-7.231302,23.251986
544,warmup,-5.238382,-7.397194,22.994723
545,warmup,-5.454263,-7.585418,22.769024
546,warmup,-5.667379,-7.794875,22.575579
547,warmup,-5.880128,-8.024348,22.415328
548,warmup,-6.094550,-8.272491,22.289428
549,warmup,-6.312344,-8.537800,22.199215
550,warmup,-6.534890,-8.818587,22.146171
551,warmup,-6.763260,-9.112943,22.131891
552,warmup,-6.998228,-9.418689,22.158039
553,warmup,-7.240274,-9.733335,22.226300
554,warmup,-7.489580,-10.054034,22.338319
555,warmup,-7.746025,-10.377530,22.495635
556,warmup,-8.009176,-10.700124,22.699597
557,warmup,-8.278271,-11.017641,22.951267
558,warmup,-8.552208,-11.325412,23.251303
559,warmup,-8.829528,-11.618277,23.599841
560,warmup,-9.108403,-11.890607,23.996351
561,warmup,-9.386623,-12.136370,24.439493
562,warmup,-9.661598,-12.349217,24.926968
563,warmup,-9.930360,-12.522629,25.455381
564,warmup,-10.189587,-12.650093,26.020113
565,warmup,-10.435638,-12.725334,26.615235
566,warmup,-10.664607,-12.742590,27.233465
567,warmup,-10.872405,-12.696912,27.866187
568,warmup,-11.054856,-12.584492,28.503548
569,warmup,-11.207820,-12.402980,29.134651
570,warmup,-11.327336,-12.151781,29.747831
571,warmup,-11.409780,-11.832280,30.331028
572,warmup,-11.452030,-11.447992,30.872238
573,warmup,-11.451626,-11.004583,31.360006
574,warmup,-11.406922,-10.509762,31.783943
575,warmup,-11.317206,-9.973033,32.135211
576,warmup,-11.182789,-9.405312,32.406941
577,warmup,-11.005041,-8.818440,32.594532
578,warmup,-10.786381,-8.224625,32.695817
579,warmup,-10.530205,-7.635870,32.711068
580,warmup,-10.240772,-7.063426,32.642846
581,warmup,-9.923037,-6.517329,32.495719
582,warmup,-9.582466,-6.006044,32.275884
583,warmup,-9.224824,-5.536248,31.990721
584,warmup,-8.855967,-5.112749,31.648344
585,warmup,-8.481645,-4.738525,31.257171
586,warmup,-8.107333,-4.414878,30.825552
587,warmup,-7.738087,-4.141652,30.361466
588,warmup,-7.378444,-3.917504,29.872312
589,warmup,-7.032350,-3.740181,29.364767
590,warmup,-6.703133,-3.606804,28.844730
591,warmup,-6.393500,-3.514113,28.317306
592,warmup,-6.105561,-3.458685,27.786852
593,warmup,-5.840874,-3.437112,27.257042
594,warmup,-5.600497,-3.446136,26.730945
595,warmup,-5.385061,-3.482748,26.211120
596,warmup,-5.194830,-3.544253,25.699705
597,warmup,-5.029772,-3.628307,25.198497
598,warmup,-4.889626,-3.732933,24.709033
599,warmup,-4.773956,-3.856519,24.232652
600,warmup,-4.682213,-3.997806,23.770556
601,warmup,-4.613772,-4.155859,23.323861
602,warmup,-4.567981,-4.330047,22.893633
